               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.049408,            0.065606,                   0,             0.61701,             0.54643,             0.56129,             0.21939,            0.053198,            0.052372,                   0,           0.0005753,           0.0005753,           0.0005753
                 108,            0.050389,            0.064949,                   0,             0.61651,             0.55458,              0.5609,             0.21671,            0.053249,            0.052225,                   0,          0.00057035,          0.00057035,          0.00057035
                 109,            0.048333,            0.060817,                   0,             0.64304,             0.53119,             0.55074,              0.2118,            0.053543,            0.052585,                   0,           0.0005654,           0.0005654,           0.0005654
                 110,            0.047831,            0.066995,                   0,             0.63966,             0.53509,             0.55489,             0.21607,            0.053363,            0.052812,                   0,          0.00056045,          0.00056045,          0.00056045
                 111,            0.048451,            0.058785,                   0,             0.63363,             0.53119,             0.55445,             0.21452,            0.053645,            0.053119,                   0,           0.0005555,           0.0005555,           0.0005555
                 112,            0.049537,            0.060091,                   0,             0.63632,             0.52534,             0.55286,             0.21968,            0.053237,            0.052769,                   0,          0.00055055,          0.00055055,          0.00055055
                 113,            0.048098,            0.056229,                   0,             0.64076,             0.54873,              0.5619,             0.21914,            0.053316,            0.052827,                   0,           0.0005456,           0.0005456,           0.0005456
                 114,            0.048664,            0.071546,                   0,             0.61626,             0.55068,             0.55661,             0.22148,            0.053215,            0.053009,                   0,          0.00054065,          0.00054065,          0.00054065
                 115,             0.04797,            0.059431,                   0,             0.59838,             0.55263,             0.54575,             0.21796,            0.053405,            0.052886,                   0,           0.0005357,           0.0005357,           0.0005357
                 116,            0.047942,            0.061679,                   0,             0.64288,             0.53216,             0.56198,             0.22001,             0.05312,            0.052721,                   0,          0.00053075,          0.00053075,          0.00053075
                 117,            0.048963,            0.061487,                   0,             0.62714,             0.54261,             0.55035,             0.21824,            0.053231,            0.053006,                   0,           0.0005258,           0.0005258,           0.0005258
                 118,            0.049775,            0.066849,                   0,             0.62395,             0.54386,             0.54337,             0.21556,            0.053317,            0.053243,                   0,          0.00052085,          0.00052085,          0.00052085
                 119,            0.048767,            0.063334,                   0,             0.63882,             0.52923,             0.54329,               0.213,            0.053472,            0.053317,                   0,           0.0005159,           0.0005159,           0.0005159
                 120,            0.049125,            0.063341,                   0,              0.6586,             0.52339,             0.55362,             0.21775,            0.052937,            0.053338,                   0,          0.00051095,          0.00051095,          0.00051095
                 121,            0.048962,            0.061278,                   0,             0.60337,             0.54581,              0.5391,             0.20767,            0.053872,            0.053412,                   0,            0.000506,            0.000506,            0.000506
                 122,            0.047489,            0.056488,                   0,             0.62457,             0.54094,              0.5423,             0.21033,            0.053413,            0.053461,                   0,          0.00050105,          0.00050105,          0.00050105
                 123,             0.04911,            0.061016,                   0,             0.62445,             0.54971,              0.5481,             0.21425,            0.053146,            0.053547,                   0,           0.0004961,           0.0004961,           0.0004961
                 124,            0.047343,            0.061477,                   0,             0.64427,             0.54971,             0.56224,             0.21756,             0.05323,            0.053322,                   0,          0.00049115,          0.00049115,          0.00049115
                 125,             0.04803,            0.058417,                   0,             0.61527,             0.55263,             0.55486,             0.21712,            0.053078,            0.053145,                   0,           0.0004862,           0.0004862,           0.0004862
                 126,            0.047014,            0.061136,                   0,             0.64803,             0.53801,             0.55047,             0.21674,            0.053336,            0.053174,                   0,          0.00048125,          0.00048125,          0.00048125
                 127,            0.049032,             0.06126,                   0,             0.64781,             0.52827,             0.55244,             0.21446,            0.053518,            0.053015,                   0,           0.0004763,           0.0004763,           0.0004763
                 128,            0.047645,             0.05985,                   0,             0.62458,             0.56104,             0.56502,             0.21778,            0.053251,            0.052909,                   0,          0.00047135,          0.00047135,          0.00047135
                 129,            0.048196,            0.062677,                   0,             0.62322,              0.5653,             0.56303,             0.22326,            0.052805,            0.052812,                   0,           0.0004664,           0.0004664,           0.0004664
                 130,            0.048859,            0.063173,                   0,             0.60416,             0.56231,             0.55964,             0.21824,            0.053234,            0.053204,                   0,          0.00046145,          0.00046145,          0.00046145
